iter	Passed	Remaining
866	1065	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1071	155
873	1072	154
874	1073	153
875	1074	152
876	1076	150
877	1077	149
878	1078	148
879	1080	147
880	1081	146
881	1082	144
882	1095	145
883	1097	143
884	1098	142
885	1100	141
886	1101	140
887	1102	139
888	1104	137
889	1105	136
890	1106	135
891	1108	134
892	1109	132
893	1110	131
894	1112	130
895	1113	129
896	1114	128
897	1116	126
898	1117	125
899	1118	124
900	1120	123
901	1121	121
902	1123	120
903	1124	119
904	1125	118
905	1126	116
906	1128	115
907	1129	114
908	1130	113
909	1131	111
910	1132	110
911	1133	109
912	1134	108
913	1135	106
914	1137	105
915	1138	104
916	1139	103
917	1139	101
918	1141	100
919	1142	99
920	1143	98
921	1144	96
922	1145	95
923	1147	94
924	1148	93
925	1149	91
926	1150	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1157	84
932	1158	83
933	1159	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1166	74
940	1167	73
941	1168	71
942	1169	70
943	1171	69
944	1171	68
945	1172	66
946	1173	65
947	1175	64
948	1176	63
949	1177	61
950	1178	60
951	1179	59
952	1181	58
953	1182	57
954	1183	55
955	1184	54
956	1185	53
957	1187	52
958	1188	50
959	1189	49
960	1190	48
961	1192	47
962	1193	45
963	1194	44
964	1196	43
965	1197	42
966	1198	40
967	1200	39
968	1201	38
969	1202	37
970	1203	35
971	1204	34
972	1206	33
973	1218	32
974	1219	31
975	1220	30
976	1221	28
977	1222	27
978	1223	26
979	1225	25
980	1226	23
981	1227	22
982	1228	21
983	1229	19
984	1230	18
985	1231	17
986	1232	16
987	1233	14
988	1235	13
989	1236	12
990	1237	11
991	1238	9
992	1239	8
993	1240	7
994	1241	6
995	1242	4
996	1243	3
997	1244	2
998	1245	1
999	1246	0
